student_id,gender,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,internet_access,extra_classes,parent_education,sleep_hours,overall_score,grade
100078,Male,5.35,44.61,54.61,57.27,63.67,11.19,Yes,No,High School,8.29,53.104,D
100433,Female,1.58,83.48,60.95,37.79,63.16,27.17,No,Yes,PhD,6.22,54.8085,D
104482,Female,6.53,78.74,68.3,29.19,53.09,27.61,Yes,No,PhD,5.88,50.174,D
102862,Male,1.08,57.54,86.23,73.11,75.44,23.39,No,No,Bachelor,4.4,70.0205,B
102933,Male,4.03,47.79,90.02,60.35,60.2,65.92,No,Yes,Bachelor,7.39,65.5325,C
102736,Male,9.23,80.77,52.85,31.17,91.47,48.35,Yes,No,Bachelor,4.8,63.289,C
104960,Female,6.29,71.33,34.33,31.55,31.79,59.73,Yes,No,Bachelor,7.91,38.986,F
104796,Female,9.33,84.94,93.1,68.31,66.89,39.21,No,Yes,High School,5.57,71.524,B
100723,Male,2.27,44.28,99.51,46.66,57.76,57.85,Yes,No,Bachelor,4.29,61.996,C
102154,Female,3.43,87.19,57.7,55.12,78.1,70.46,Yes,No,High School,5.12,68.42,C
101196,Female,3.19,82.61,73.3,40.69,95.15,19.91,No,No,Bachelor,4.83,68.387,C
102338,Female,6.89,51.99,63.97,82.66,65.33,22.12,Yes,No,PhD,6.32,63.7355,C
103129,Female,3.1,83.42,65.7,87.18,30.75,69.25,No,No,High School,6.88,60.9645,C
100582,Female,8.44,52.38,38.32,44.5,67.71,81.71,Yes,Yes,Bachelor,6.97,55.8965,C
104835,Female,1.13,49.63,46.88,44.32,64.8,39.22,Yes,Yes,High School,7.89,52.021,D
103772,Female,6.01,84.95,49.55,78.01,41.78,11.33,Yes,Yes,Bachelor,6.95,53.6635,D
103781,Male,8.72,51.55,89.33,94.23,89.45,96.31,No,Yes,PhD,5.47,87.517,A
103514,Female,3.87,89.32,41.69,68.45,71.9,97.93,Yes,Yes,PhD,8.7,69.3405,C
104368,Female,8.12,86.42,36.8,88.17,44.55,50.62,No,Yes,High School,5.68,58.699,C
100325,Female,6.21,73.2,79.39,29.17,70.82,81.62,No,No,Bachelor,4.59,63.4395,C
104178,Female,6.07,82.89,72.33,42.01,88.13,41.34,No,Yes,High School,6.35,68.237,C
103071,Female,4.73,96.31,88.92,41.67,32.36,71.16,No,No,Master,8.02,56.2745,C
100892,Male,5.43,91.27,67.2,98.59,56.66,40.8,Yes,No,Bachelor,7.92,71.1255,B
104546,Female,2.31,76.63,45.02,88.7,30.37,81.77,Yes,Yes,Master,4.52,57.6485,C
103632,Male,1.31,84.51,56.79,44.18,94.51,15.87,No,No,PhD,4.05,65.5195,C
102120,Female,9.17,53.27,58.46,72.65,53.27,55.26,No,Yes,PhD,6.99,59.352,C
103366,Male,5.03,96.5,65.55,94.66,85.22,41.38,Yes,Yes,PhD,4.39,80.39,B
101527,Male,8.52,80.81,93.46,30.41,90.56,14.18,No,Yes,High School,7.76,67.4895,C
100831,Male,5.27,57.94,77.33,69.29,43.57,83.04,Yes,Yes,Master,5.72,62.136,C
103819,Male,4.08,46.37,61.55,72.78,47.92,73.9,Yes,Yes,High School,5.06,59.304,C
102469,Female,4.01,62.03,55.63,47.14,52.11,95.21,Yes,No,PhD,8.92,56.8735,C
100681,Male,5.45,40.57,48.17,65.94,56.29,38.91,No,Yes,Bachelor,5.54,53.7685,D
101675,Male,8.73,65.4,32.5,45.5,46.89,42.23,No,No,High School,4.88,45.0495,D
101023,Female,1.89,66.47,36.34,37.89,39.93,71.95,Yes,No,PhD,8.43,44.558,D
103182,Male,1.62,42.28,93.21,79.7,92.89,21.39,Yes,Yes,Master,6.83,77.4455,B
100318,Male,2.29,85.44,37.25,26.11,92.8,16.16,No,No,Master,4.16,56.6175,C
100810,Male,2.5,46.81,78.11,41.09,84.81,27.07,No,Yes,Master,7.5,62.966,C
103668,Female,3.27,98.51,44.12,83.53,94.85,72.5,No,Yes,Bachelor,7.44,80.005,B
104935,Male,1.98,54.83,58.02,61.63,93.18,37.92,No,Yes,Bachelor,9.0,68.8995,C
101235,Female,8.59,73.31,89.93,81.78,87.33,33.28,No,No,Master,5.83,79.6555,B
102116,Male,8.24,45.01,90.17,89.28,50.51,73.82,No,Yes,High School,8.34,69.9155,C
104002,Male,7.52,43.9,53.77,94.75,55.47,32.69,Yes,No,Master,,61.515,C
101252,Female,4.04,45.81,97.83,68.45,,48.7,Yes,Yes,Bachelor,,71.9245,B
104287,Male,8.38,54.23,55.08,47.01,44.47,55.68,Yes,No,Master,8.55,49.324,D
104837,Male,,63.27,51.17,29.57,83.51,78.94,No,No,Master,7.58,61.076,C
104959,Female,3.11,70.13,74.03,81.37,59.49,17.33,Yes,No,High School,5.92,64.716,C
104199,Male,6.14,50.21,79.46,98.22,62.2,20.94,Yes,Yes,High School,4.17,69.332,C
100732,Male,6.9,95.36,53.19,68.49,43.09,11.13,No,No,Bachelor,5.94,53.491,D
101680,Female,6.9,95.83,36.7,46.52,66.44,10.68,Yes,No,High School,8.4,52.875,D
100950,Male,2.32,96.89,82.28,28.1,88.27,13.54,Yes,Yes,PhD,8.66,65.4185,C
100718,Female,1.84,61.7,51.81,98.62,78.92,91.81,Yes,No,Master,7.04,77.99,B
103453,Female,4.97,43.75,43.75,56.65,90.06,41.98,Yes,No,PhD,6.64,63.0065,C
102850,Female,3.73,84.79,74.88,87.9,76.13,11.35,No,Yes,Bachelor,8.77,73.2105,B
102319,Male,9.54,64.09,85.54,81.91,78.64,33.36,No,No,Master,8.75,74.8545,B
104760,Male,9.33,82.89,95.83,25.58,98.78,81.98,No,No,PhD,6.95,76.621,B
101940,Male,8.31,83.76,41.68,53.91,80.21,57.25,Yes,No,High School,5.83,63.988,C
101344,Male,4.76,60.7,48.13,34.16,60.2,32.73,No,No,PhD,6.56,48.579,D
102425,Male,4.31,41.35,36.26,94.04,82.3,55.19,No,Yes,High School,4.49,69.221,C
100968,Female,9.43,62.87,56.47,91.66,55.57,49.51,Yes,No,Bachelor,6.59,64.8965,C
103201,Male,4.67,77.35,66.14,38.91,33.97,42.73,Yes,Yes,Master,7.06,46.853,D
102794,Female,7.54,94.58,78.35,90.54,49.85,75.0,No,Yes,Bachelor,6.56,72.7105,B
100676,Female,6.22,58.31,46.14,51.12,71.03,22.85,No,Yes,PhD,8.03,54.9845,D
101905,Female,,97.99,70.98,72.79,55.38,94.96,No,Yes,PhD,8.73,71.0715,B
100358,Male,8.68,63.9,52.95,82.91,71.3,89.46,No,Yes,Bachelor,4.59,71.6085,B
101569,Female,4.78,57.93,79.03,79.98,35.92,18.92,No,No,Master,8.95,56.058,C
101536,Male,7.02,78.02,56.7,62.58,88.97,29.1,Yes,Yes,High School,5.67,68.8365,C
104221,Female,6.3,99.52,63.25,42.66,35.0,19.68,Yes,No,PhD,6.11,47.485,D
102753,Female,4.83,64.93,95.04,66.25,66.44,11.21,No,Yes,High School,5.46,66.4385,C
102749,Female,6.96,62.19,66.96,77.02,69.16,46.1,Yes,Yes,Bachelor,6.99,67.682,C
103592,Male,4.63,61.95,53.1,36.6,33.68,68.23,Yes,Yes,PhD,7.72,44.576,D
101955,Male,4.24,68.27,86.77,83.32,35.69,39.31,Yes,No,Bachelor,6.57,61.4335,C
103783,Female,6.93,84.6,65.1,67.56,71.45,81.22,Yes,No,Master,8.21,71.4995,B
104331,Male,7.89,91.57,55.04,63.81,94.53,38.23,No,Yes,High School,6.77,73.026,B
104881,Male,6.09,85.91,99.98,77.37,62.41,26.88,No,No,,4.77,72.461,B
100905,Female,6.61,47.84,39.19,25.95,89.84,53.22,No,Yes,Master,8.36,55.8755,C
100799,Male,2.47,47.33,86.54,46.18,59.2,80.83,Yes,No,High School,8.28,62.389,C
101167,Female,9.88,99.27,50.37,27.91,86.64,16.46,No,Yes,PhD,5.61,58.9485,C
102949,Female,3.51,55.81,31.95,68.62,97.33,43.7,Yes,Yes,Master,6.0,67.5615,C
104177,Male,8.18,43.2,35.3,48.9,46.95,28.07,No,No,PhD,5.67,42.8445,D
101884,Male,9.49,72.37,74.43,93.69,76.58,84.88,No,No,PhD,6.8,80.8365,B
100161,Male,1.36,71.75,77.62,80.67,95.98,45.32,No,Yes,High School,6.43,80.9915,B
100084,Male,2.75,54.7,69.44,34.32,68.68,10.5,Yes,No,Bachelor,7.58,53.026,D
101390,Female,1.79,55.08,98.99,62.97,50.64,82.95,Yes,Yes,Master,4.15,67.0675,C
104207,Female,7.18,99.13,78.23,65.09,30.27,60.66,No,No,Master,4.5,58.492,C
103111,Male,3.75,45.11,52.85,58.82,31.94,16.5,Yes,No,PhD,8.35,42.615,D
101918,Male,6.54,97.46,86.67,25.9,65.43,98.62,No,Yes,Master,5.78,66.3175,C
103008,Female,7.24,74.71,52.4,87.39,97.57,94.27,Yes,No,PhD,7.27,83.375,B
103284,Male,6.29,91.4,36.41,87.67,53.03,81.63,No,Yes,PhD,8.84,65.063,C
104094,Female,5.62,74.63,41.3,51.26,66.92,75.61,No,No,PhD,7.07,59.521,C
102976,Female,9.3,72.37,93.39,77.69,62.6,87.49,Yes,No,PhD,4.32,75.9965,B
102254,Female,3.89,73.94,41.21,88.07,81.0,94.72,No,No,Bachelor,4.22,75.4755,B
102436,Female,2.9,64.37,89.27,58.94,91.97,56.67,No,Yes,Bachelor,6.68,76.8825,B
103028,Male,5.72,90.58,54.71,41.1,93.38,34.42,No,No,High School,6.9,66.4,C
101398,Female,4.97,42.73,74.65,63.3,80.95,41.72,Yes,Yes,Bachelor,7.11,67.5325,C
100427,Female,3.17,44.14,33.88,42.9,40.75,54.21,Yes,No,Master,7.4,41.5985,D
102360,Female,7.34,73.93,56.86,45.77,80.45,79.59,No,No,PhD,6.65,66.324,C
100915,Female,1.76,64.49,92.37,57.43,51.54,70.45,Yes,Yes,Bachelor,4.27,64.3645,C
103647,Male,1.82,70.44,67.15,88.41,73.28,95.0,Yes,Yes,Master,5.01,77.7245,B
100407,Female,4.99,57.08,94.06,95.5,34.7,93.16,Yes,No,High School,7.79,69.856,C
104814,Female,9.61,72.46,54.75,89.89,42.55,27.95,No,No,Master,5.89,58.356,C
101355,Female,9.72,98.98,41.92,61.17,69.39,32.76,No,No,Master,4.36,61.137,C
100474,Male,1.09,70.51,59.76,85.87,33.58,98.32,Yes,No,Master,5.93,62.0555,
100004,Male,8.83,51.13,65.19,78.28,54.23,88.99,No,No,Bachelor,,65.6005,C
103724,Male,8.79,40.61,63.17,80.02,76.89,93.42,No,No,Master,5.54,72.9535,B
101771,Male,8.83,93.67,76.72,91.9,49.33,81.08,No,Yes,PhD,6.76,73.0595,B
102406,Female,7.03,57.51,69.11,96.76,67.53,64.57,No,No,PhD,4.78,73.8555,B
103851,Male,5.23,43.44,53.47,45.19,65.02,46.32,No,No,Bachelor,6.1,53.7245,D
104558,Female,7.27,84.71,87.92,97.53,33.55,14.91,No,No,PhD,4.44,63.671,C
104905,Female,4.52,65.92,59.26,81.85,79.22,97.47,Yes,Yes,High School,7.94,76.3805,B
100664,Male,6.56,81.69,98.31,30.9,47.47,22.56,No,No,Bachelor,5.3,54.4265,D
103054,Male,8.21,47.88,80.44,78.99,82.37,83.56,No,No,Bachelor,8.63,77.809,B
101677,Male,3.28,60.5,33.1,84.96,82.46,28.75,Yes,Yes,High School,6.88,65.646,C
101003,Male,6.52,41.76,55.77,48.78,30.67,86.13,No,Yes,Master,6.95,46.8725,D
103203,Male,4.4,89.16,85.27,58.68,31.26,14.36,Yes,No,PhD,4.53,53.017,D
102707,Female,7.86,40.93,78.91,77.49,45.1,57.08,Yes,Yes,High School,5.68,60.7405,C
100083,Female,3.16,47.15,82.82,82.99,85.12,58.21,No,No,PhD,7.29,77.6395,B
100960,Male,4.6,73.33,88.47,53.06,83.46,29.4,Yes,No,High School,6.96,70.443,B
102419,Female,7.43,77.7,97.58,52.4,76.51,18.56,Yes,Yes,High School,7.61,69.0205,C
101608,Female,9.43,52.07,50.83,68.53,63.62,13.78,Yes,No,Bachelor,7.27,56.1505,C
104059,Male,2.81,94.97,86.42,75.39,59.8,37.79,Yes,No,High School,8.83,70.3375,B
104710,Male,2.69,59.72,81.57,96.23,50.05,75.28,No,Yes,PhD,6.17,71.389,B
103897,Male,6.21,74.67,75.24,84.25,57.64,27.33,No,No,Bachelor,8.31,66.4845,C
102142,Female,7.97,75.79,61.83,60.21,52.67,26.04,No,Yes,High School,6.11,56.036,C
102464,Male,4.36,67.88,76.03,36.52,31.61,91.87,No,No,PhD,5.66,51.3745,D
100561,Male,9.98,53.16,35.2,27.84,66.48,78.05,No,Yes,PhD,4.31,50.389,D
103907,Male,6.66,86.8,88.31,64.84,92.94,47.44,No,No,Master,5.97,79.825,B
101144,Female,8.05,68.72,49.69,56.02,44.1,67.06,No,No,Bachelor,8.85,52.956,D
104533,Male,8.6,92.47,75.04,33.81,73.94,82.37,Yes,Yes,PhD,7.09,66.8235,C
100213,Male,7.81,43.49,74.33,39.17,72.46,95.16,Yes,No,Master,4.6,63.8845,C
104204,Female,9.4,65.74,38.81,57.98,83.7,49.73,No,No,Bachelor,8.71,63.099,C
103812,Female,8.61,55.13,31.62,73.89,99.37,69.14,No,Yes,High School,6.25,72.003,B
101791,Female,,42.56,75.56,32.95,83.2,57.82,Yes,Yes,PhD,4.74,62.5075,C
104175,Male,2.8,62.27,57.91,68.85,96.4,58.55,Yes,Yes,PhD,5.98,74.6165,B
102190,Female,6.04,51.3,50.94,28.48,54.65,55.54,No,Yes,High School,4.21,47.1195,D
104792,Female,1.13,69.84,82.78,25.84,71.81,66.36,No,Yes,Bachelor,8.9,61.7695,C
102901,Female,2.99,62.85,82.27,67.9,77.81,16.17,Yes,Yes,Bachelor,6.07,68.5645,C
100419,Female,3.89,61.34,93.14,40.51,65.63,90.36,No,No,Master,5.87,66.896,C
101032,Male,8.1,91.92,66.89,25.14,88.85,61.96,No,Yes,PhD,8.9,66.1485,C
101686,Female,4.35,57.83,99.47,68.54,95.73,48.95,Yes,No,PhD,6.84,81.2125,B
102128,Male,3.92,64.61,95.5,92.91,37.46,50.47,Yes,Yes,High School,4.25,66.9465,C
102866,Female,2.74,44.9,52.9,87.2,60.33,47.08,Yes,No,PhD,7.23,62.6935,C
102961,Male,3.83,40.55,59.79,32.85,59.12,45.73,Yes,No,High School,5.09,49.4905,D
101632,Female,6.99,69.35,74.12,90.56,49.65,17.15,Yes,Yes,Bachelor,8.47,63.4915,C
101335,Female,7.7,98.22,87.16,26.78,60.23,42.62,Yes,No,PhD,8.68,59.2915,C
104095,Male,8.85,55.9,40.98,75.43,78.34,92.55,No,Yes,High School,7.29,69.3175,C
101895,Male,9.07,79.71,35.45,72.62,75.08,84.68,Yes,No,Master,4.32,67.962,C
100452,Female,2.92,99.32,58.37,69.06,41.74,95.38,No,Yes,Bachelor,6.92,63.018,C
102586,Female,4.76,79.14,87.33,61.5,36.16,67.74,No,Yes,Master,7.38,60.185,C
104663,Male,1.35,62.84,87.52,93.77,41.17,89.51,No,No,High School,7.7,70.591,B
102498,Male,2.92,68.77,98.69,59.47,37.05,80.48,No,Yes,High School,5.27,62.498,C
102607,Male,6.62,68.51,78.69,34.96,73.63,66.81,No,No,High School,7.12,63.7805,C
104705,Male,2.55,65.61,93.08,51.43,83.71,16.79,No,No,High School,7.78,69.012,C
103474,Male,8.86,94.32,62.02,94.24,42.0,70.85,Yes,Yes,Bachelor,7.25,67.181,C
104200,Female,9.51,41.33,77.85,97.43,69.84,16.04,No,Yes,Master,8.78,70.1085,B
104994,Male,2.12,94.06,48.85,94.35,59.96,80.13,No,Yes,High School,6.1,71.7625,B
102541,Male,1.55,86.75,80.38,51.07,60.48,55.81,Yes,No,High School,7.64,64.2675,C
101661,Male,4.98,48.74,40.74,77.86,59.6,71.85,Yes,No,PhD,4.59,60.532,C
102742,Male,7.62,80.11,91.62,56.95,39.72,38.83,No,No,Bachelor,5.07,58.3575,C
103361,Female,2.19,77.81,74.65,38.4,64.16,33.58,No,No,Master,8.76,58.125,C
100678,Female,7.41,94.89,79.23,25.91,66.29,11.32,Yes,No,PhD,4.4,56.146,C
103168,Female,4.93,52.17,88.89,48.95,46.81,56.86,Yes,No,High School,7.03,57.302,C
101875,Female,4.91,77.28,71.79,34.89,86.35,86.82,Yes,No,Bachelor,4.52,69.713,C
102028,Female,4.45,79.68,99.97,99.08,84.18,69.85,No,Yes,Master,4.07,89.18,A
104479,Female,1.95,92.0,80.41,96.38,45.27,97.81,No,Yes,Bachelor,8.9,75.0025,B
104950,Female,5.61,71.32,34.5,74.19,54.39,66.94,No,No,Bachelor,8.48,58.31,C
102838,Male,4.45,87.29,77.76,49.8,31.65,29.37,No,Yes,Bachelor,5.85,50.7455,D
103564,Male,5.37,48.33,68.26,63.54,83.32,44.5,No,No,High School,4.18,67.982,C
100764,Male,8.87,48.17,87.86,34.41,56.02,11.3,Yes,Yes,PhD,8.08,51.7285,D
102998,Female,9.18,81.52,32.41,78.5,36.12,99.91,No,No,Bachelor,5.34,56.892,C
101584,Female,7.02,62.46,90.56,89.77,57.23,30.95,Yes,Yes,PhD,6.48,69.926,C
101530,Female,5.99,85.01,33.02,63.87,50.45,13.51,No,Yes,PhD,7.06,50.081,D
104202,Female,6.39,91.92,42.87,42.44,60.35,55.09,Yes,Yes,Master,7.77,55.0075,C
103222,Female,1.88,89.9,57.91,73.41,48.85,59.7,Yes,No,Bachelor,4.8,61.992,C
102743,Male,3.71,90.71,87.67,79.2,69.93,59.17,Yes,Yes,PhD,5.49,76.7975,B
103834,Male,9.49,72.49,75.65,71.62,75.75,55.73,Yes,Yes,,8.27,72.3695,B
102754,Female,3.22,47.07,43.96,36.38,69.06,59.98,Yes,No,PhD,5.08,52.763,D
103788,Female,1.79,99.35,71.58,52.13,35.26,79.82,Yes,Yes,Master,7.55,57.6065,C
102354,Female,2.52,56.08,41.53,88.44,41.1,18.3,No,Yes,Bachelor,5.2,52.239,D
104215,Male,3.96,47.77,33.26,48.56,71.1,38.69,No,Yes,PhD,8.09,52.323,D
103975,Male,5.99,92.87,35.47,38.04,79.03,82.96,Yes,No,High School,6.8,61.8475,C
104277,Female,5.87,73.6,77.19,46.51,33.86,37.25,No,No,Master,8.08,50.0015,D
102671,Female,6.05,82.67,87.81,33.16,33.47,74.83,No,Yes,Bachelor,8.08,53.3165,D
102287,Male,3.55,53.93,71.84,75.03,43.43,30.07,No,No,Bachelor,6.14,56.726,C
101210,Male,5.47,98.07,85.12,53.82,98.82,10.78,No,Yes,High School,8.26,75.951,B
100917,Female,7.0,74.55,67.7,36.46,85.96,79.27,Yes,No,Bachelor,7.7,68.123,C
100934,Female,4.5,64.38,80.94,42.2,47.69,29.64,Yes,No,High School,4.32,52.8315,D
101195,Male,2.4,72.24,89.82,27.03,80.13,51.77,No,No,Bachelor,4.51,65.168,C
104072,Male,4.81,60.41,64.78,38.39,40.33,37.84,Yes,Yes,High School,7.31,46.494,D
102138,Female,7.02,88.09,62.71,66.62,39.8,20.29,No,Yes,Bachelor,5.91,53.965,D
102227,Male,1.99,87.89,35.18,88.28,30.04,15.31,No,Yes,Master,6.54,49.94,D
100387,Male,9.7,55.1,63.87,62.43,40.03,67.06,Yes,Yes,High School,4.92,54.608,D
103806,Female,4.73,99.15,69.49,51.72,92.15,40.9,No,Yes,Bachelor,7.32,73.0855,B
101227,Female,9.87,94.18,77.4,90.26,88.97,53.31,No,Yes,Bachelor,4.8,83.9335,B
102645,Male,7.2,91.28,48.03,62.92,64.92,66.41,Yes,No,High School,4.61,63.827,C
102346,Male,5.09,66.39,53.54,84.93,50.96,90.73,No,Yes,PhD,4.16,65.4885,C
101077,Male,5.9,44.58,32.13,49.82,75.1,24.54,Yes,No,High School,6.87,52.078,D
102456,Male,6.47,96.8,65.3,50.92,59.08,21.3,Yes,Yes,Master,6.88,58.278,C
104948,Male,5.6,68.92,95.47,98.89,57.76,66.99,No,Yes,High School,6.07,77.6235,B
103041,Female,3.41,92.9,79.85,29.26,39.89,66.95,No,Yes,High School,6.58,53.2315,D
103722,Female,2.98,98.91,50.35,33.94,78.64,71.68,Yes,No,Master,5.67,63.138,C
103988,Male,8.36,65.8,31.35,94.78,90.67,53.89,No,No,High School,7.54,73.6685,B
101778,Female,9.9,65.0,54.52,45.13,93.58,76.51,Yes,Yes,Bachelor,7.41,69.0905,C
104355,Male,8.09,90.64,96.06,68.4,33.23,29.77,No,No,High School,4.58,59.9835,C
101712,Male,7.38,69.6,66.24,56.12,98.8,12.36,Yes,No,High School,4.82,70.054,B
104070,Male,8.98,50.0,83.25,58.23,30.07,19.06,Yes,Yes,High School,4.63,48.638,D
104048,Female,9.58,64.53,73.78,79.62,31.18,21.52,Yes,Yes,PhD,7.48,54.179,D
103027,Male,3.05,86.3,52.74,43.89,75.35,76.48,Yes,Yes,High School,4.61,64.171,C
101873,Female,4.06,91.18,87.84,78.97,55.41,65.6,Yes,Yes,PhD,5.02,72.382,B
100138,Male,7.15,56.16,55.25,26.15,65.74,43.4,Yes,Yes,High School,7.14,50.5525,D
103529,Female,6.72,80.35,52.88,50.19,81.92,88.42,No,No,High School,8.48,68.6725,C
100766,Male,3.28,77.92,36.27,83.42,97.22,17.17,No,Yes,Master,5.02,71.645,B
100981,Female,1.15,92.21,57.06,64.41,41.54,37.54,No,Yes,Master,5.74,55.0285,C
